Bulan Pemesanan,Nama Produk,Kontraktor,Kode Produk,Quantity,Contact person
April,Lampu Heavy Duty 40 Watt,PT. Aditarwan,LHD 40 Watt,150,Bapak Aditya 
April,Lampu LED 30 Watt,PT. Aditarwan,Uniled 30 Watt,80,Bapak Aditya 
April,Penerangan Jalan Umum 60 Watt,PT. Aditarwan,PJU 60 Watt,50,Bapak Aditya 
April,Solar Cell 50 WP,PT. Aditarwan,SC 50 WP,60,Bapak Aditya 
April,Lampu Land Scape 40 Watt,CV. Sumber Setia Abadi,LLS 40 Watt,30,Bapak Taufiq
April,Regulator ,CV. Sumber Setia Abadi,BCR,20,Bapak Taufiq
April,Lampu LED 20 Watt,CV. Sumber Setia Abadi,Uniled 20 Watt,80,Bapak Taufiq
April,Lampu LED 20 Watt,CV. Kelola Jaya Artha,Uniled 20 Watt,300,Bapak Reza
April,Lampu LED 30 Watt,CV. Kelola Jaya Artha,Uniled 30 Watt,200,Bapak Reza
April,Lampu LED 40 Watt,CV. Kelola Jaya Artha,Uniled 40 Watt,150,Bapak Reza
April,Lampu LED 60 Watt,CV. Kelola Jaya Artha,Uniled 60 Watt,300,Bapak Reza
Mei,Solar Home System 100 WP,PT. Dwi Prima,SHS 100 WP,150,Bapak Yanuar
Mei,Penerangan Jalan Umum 60 Watt,PT. Dwi Prima,PJU 60 Watt,80,Bapak Yanuar
Mei,Lampu Land Scape 40 Watt,PT. Dwi Prima,LLS 40 Watt,40,Bapak Yanuar
Mei,Lampu Heavy Duty 40 Watt,PT. Dwi Prima,LHD 40 Watt,60,Bapak Yanuar
Mei,Lampu Land Scape 40 Watt,PT. Intan Anugerah,LLS 40 Watt,50,Bapak Fitrian
Mei,Lampu Heavy Duty 40 Watt,PT. Intan Anugerah,LHD 40 Watt,50,Bapak Fitrian
Mei,Lampu LED 20 Watt,CV. Aneka Surya,Uniled 20 Watt,50,Bapak Andre
Mei,Lampu LED 30 Watt,CV. Aneka Surya,Uniled 30 Watt,50,Bapak Andre
Mei,Lampu LED 40 Watt,CV. Aneka Surya,Uniled 40 Watt,50,Bapak Andre
Mei,Lampu LED 60 Watt,CV. Aneka Surya,Uniled 60 Watt,50,Bapak Andre
Mei,Lampu Heavy Duty 40 Watt,CV. Aneka Surya,LHD 40 Watt,15,Bapak Andre
Mei,Regulator ,CV. Aneka Surya,BCR,30,Bapak Andre
Mei,Inverter ,CV. Aneka Surya,Inv,15,Bapak Andre
Mei,Lampu Land Scape 40 Watt,CV. Metec,LLS 40 Watt,20,Bapak Rudi
Juni,Solar Cell 50 WP,CV. Selaras,SC 50 WP,10,Bapak Fauzi
Juni,Regulator ,CV. Selaras,BCR,80,Bapak Fauzi
Juni,Solar Home System 100 WP,CV. Selaras,SHS 100 WP,20,Bapak Fauzi
Juni,Inverter ,CV. Selaras,Inv,30,Bapak Fauzi
Juni,Lampu LED 20 Watt,PT. Panji Makmur,Uniled 20 Watt,40,Bapak Rosidi
Juni,Regulator ,PT. Panji Makmur,BCR,65,Bapak Rosidi
Juni,Lampu LED 40 Watt,PT. Panji Makmur,Uniled 40 Watt,20,Bapak Rosidi
